Date,Value
2008-01-02,29.2297
2008-01-03,29.2297
2008-01-04,28.512
2008-01-07,28.6039
2008-01-08,28.079
2008-01-09,28.4615
2008-01-10,28.6877
2008-01-11,28.2977
2008-01-14,28.6053
2008-01-15,27.8923
2008-01-16,27.7358
2008-01-17,26.9289
2008-01-18,26.7661
2008-01-22,26.4694
2008-01-23,27.037
2008-01-24,27.309
2008-01-25,26.8756
2008-01-28,27.3474
2008-01-29,27.5157
2008-01-30,27.3846
2008-01-31,27.8439
2008-02-01,28.1846
2008-02-04,27.8897
2008-02-05,26.9974
2008-02-06,26.7916
2008-02-07,27.0028
2008-02-08,26.8893
2008-02-11,27.0477
2008-02-12,27.2442
2008-02-13,27.6148
2008-02-14,27.2442
2008-02-15,27.2672
2008-02-19,27.2426
2008-02-20,27.4698
2008-02-21,27.1163
2008-02-22,27.33
2008-02-25,27.7075
2008-02-26,27.8992
2008-02-27,27.8736
2008-02-28,27.6243
2008-02-29,26.876
2008-03-03,26.8903
2008-03-04,26.7976
2008-03-05,26.938
2008-03-06,26.345
2008-03-07,26.1234
2008-03-10,25.7195
2008-03-11,26.6744
2008-03-12,26.4345
2008-03-13,26.57
2008-03-14,26.0178
2008-03-17,25.7847
2008-03-18,26.8782
2008-03-19,26.2254
2008-03-20,26.8534
2008-03-24,27.2648
2008-03-25,27.3276
2008-03-26,27.0881
2008-03-27,26.7776
2008-03-28,26.5647
2008-03-31,26.7158
2008-04-01,31.8647
2008-04-02,31.803
2008-04-03,31.8444
2008-04-04,31.8698
2008-04-07,31.9195
2008-04-08,31.7567
2008-04-09,31.4998
2008-04-10,31.6407
2008-04-11,30.996
2008-04-14,30.8912
2008-04-15,31.0333
2008-04-16,31.7374
2008-04-17,31.7572
2008-04-18,32.3333
2008-04-21,32.283
2008-04-22,31.9986
2008-04-23,32.0914
2008-04-24,32.2981
2008-04-25,32.5079
2008-04-28,32.4737
2008-04-29,32.3474
2008-04-30,32.223
2008-05-01,32.7753
2008-05-02,32.8814
2008-05-05,32.7323
2008-05-06,32.9828
2008-05-07,32.3853
2008-05-08,32.5042
2008-05-09,32.2856
2008-05-12,32.6414
2008-05-13,32.6288
2008-05-14,32.7595
2008-05-15,33.1063
2008-05-16,33.1477
2008-05-19,33.1774
2008-05-20,32.8698
2008-05-21,32.3421
2008-05-22,32.4267
2008-05-23,31.9984
2008-05-27,32.2174
2008-05-28,32.3451
2008-05-29,32.5177
2008-05-30,32.567
2008-06-02,32.2249
2008-06-03,32.0384
2008-06-04,32.0279
2008-06-05,32.6523
2008-06-06,31.6437
2008-06-09,31.6688
2008-06-10,31.5916
2008-06-11,31.0579
2008-06-12,31.1598
2008-06-13,31.6286
2008-06-16,31.6312
2008-06-17,31.417
2008-06-18,31.1119
2008-06-19,31.2286
2008-06-20,30.6495
2008-06-23,30.6512
2008-06-24,30.5649
2008-06-25,30.7435
2008-06-26,29.8407
2008-06-27,29.7298
2008-06-30,29.7674
2008-07-01,32.2923
2008-07-02,31.7044
2008-07-03,31.7391
2008-07-07,31.473
2008-07-08,32.0106
2008-07-09,31.2815
2008-07-10,31.5001
2008-07-11,31.1508
2008-07-14,30.8696
2008-07-15,30.533
2008-07-16,31.2983
2008-07-17,31.6743
2008-07-18,31.6833
2008-07-21,31.6662
2008-07-22,32.0935
2008-07-23,32.2239
2008-07-24,31.4788
2008-07-25,31.61
2008-07-28,31.0221
2008-07-29,31.7467
2008-07-30,32.2759
2008-07-31,31.8517
2008-08-01,31.674
2008-08-04,31.39
2008-08-05,32.2915
2008-08-06,32.3998
2008-08-07,31.8188
2008-08-08,32.579
2008-08-11,32.8052
2008-08-12,32.4099
2008-08-13,32.3154
2008-08-14,32.4938
2008-08-15,32.6263
2008-08-18,32.1337
2008-08-19,31.8344
2008-08-20,32.0317
2008-08-21,32.1116
2008-08-22,32.4755
2008-08-25,31.8382
2008-08-26,31.9555
2008-08-27,32.2106
2008-08-28,32.6886
2008-08-29,32.24
2008-09-02,32.1081
2008-09-03,32.0427
2008-09-04,31.0839
2008-09-05,31.2217
2008-09-08,31.862
2008-09-09,30.7743
2008-09-10,30.9636
2008-09-11,31.3911
2008-09-12,31.4577
2008-09-15,29.9749
2008-09-16,30.5001
2008-09-17,29.0623
2008-09-18,30.3219
2008-09-19,31.5426
2008-09-22,30.3365
2008-09-23,29.8623
2008-09-24,29.8032
2008-09-25,30.389
2008-09-26,30.4918
2008-09-29,27.8065
2008-09-30,29.3129
2008-10-01,29.3123
2008-10-02,28.1313
2008-10-03,27.7513
2008-10-06,26.6824
2008-10-07,25.151
2008-10-08,24.8659
2008-10-09,22.972
2008-10-10,22.7018
2008-10-13,25.3307
2008-10-14,25.1959
2008-10-15,22.9195
2008-10-16,23.8937
2008-10-17,23.7453
2008-10-20,24.8776
2008-10-21,24.1113
2008-10-22,22.6402
2008-10-23,22.9263
2008-10-24,22.1351
2008-10-27,21.432
2008-10-28,23.7443
2008-10-29,23.4812
2008-10-30,24.0871
2008-10-31,24.4572
2008-11-03,24.3954
2008-11-04,25.3913
2008-11-05,24.0538
2008-11-06,22.8447
2008-11-07,23.5039
2008-11-10,23.2065
2008-11-11,22.695
2008-11-12,21.5173
2008-11-13,23.0066
2008-11-14,22.0472
2008-11-17,21.4782
2008-11-18,21.6895
2008-11-19,20.363
2008-11-20,18.9962
2008-11-21,20.1977
2008-11-24,21.5049
2008-11-25,21.6458
2008-11-26,22.4105
2008-11-28,22.6266
2008-12-01,20.6062
2008-12-02,21.4292
2008-12-03,21.9828
2008-12-04,21.3386
2008-12-05,22.1174
2008-12-08,22.9664
2008-12-09,22.4355
2008-12-10,22.7023
2008-12-11,22.0548
2008-12-12,22.2098
2008-12-15,21.928
2008-12-16,23.0543
2008-12-17,22.8331
2008-12-18,22.3499
2008-12-19,22.4156
2008-12-22,22.0053
2008-12-23,21.7915
2008-12-24,21.9174
2008-12-26,22.0348
2008-12-29,21.9495
2008-12-30,22.4852
2008-12-31,22.8036
2009-01-02,16.3876
2009-01-05,16.3111
2009-01-06,16.4386
2009-01-07,15.9453
2009-01-08,15.9995
2009-01-09,15.6586
2009-01-12,15.3053
2009-01-13,15.3322
2009-01-14,14.8192
2009-01-15,14.8389
2009-01-16,14.9511
2009-01-20,14.1614
2009-01-21,14.7773
2009-01-22,14.5533
2009-01-23,14.6316
2009-01-26,14.7128
2009-01-27,14.8735
2009-01-28,15.3727
2009-01-29,14.8635
2009-01-30,14.5248
2009-02-02,14.5171
2009-02-03,14.7469
2009-02-04,14.6365
2009-02-05,14.876
2009-02-06,15.2761
2009-02-09,15.2988
2009-02-10,14.5473
2009-02-11,14.663
2009-02-12,14.6885
2009-02-13,14.5417
2009-02-17,13.8792
2009-02-18,13.866
2009-02-19,13.6993
2009-02-20,13.5429
2009-02-23,13.073
2009-02-24,13.5973
2009-02-25,13.4523
2009-02-26,13.2401
2009-02-27,12.9281
2009-03-02,12.3254
2009-03-03,12.2464
2009-03-04,12.5373
2009-03-05,12.004
2009-03-06,12.0186
2009-03-09,11.8982
2009-03-10,12.6556
2009-03-11,12.6866
2009-03-12,13.2033
2009-03-13,13.3055
2009-03-16,13.2587
2009-03-17,13.6848
2009-03-18,13.9703
2009-03-19,13.789
2009-03-20,13.5164
2009-03-23,14.4727
2009-03-24,14.1773
2009-03-25,14.3138
2009-03-26,14.6476
2009-03-27,14.35
2009-03-30,13.8503
2009-03-31,14.0322
2009-04-01,12.2649
2009-04-02,12.6173
